idx,mouse_symbol,reason
0,A1bg,no_dataset
1,Aars2,no_dataset
2,Aasdh,no_dataset
3,Abca5,no_dataset
4,Abcc10,no_dataset
5,Abcc8,no_dataset
6,Abhd14a,no_dataset
7,Abhd14b,no_dataset
8,Ablim1,no_dataset
10,Acap1,no_dataset
11,Acap3,no_dataset
12,Accs,no_dataset
13,Acd,no_dataset
14,Acsf2,no_dataset
15,Acsm1,no_dataset
16,Actl6b,no_dataset
17,Acvr2a,no_dataset
18,Adam11,no_dataset
20,Adam22,no_dataset
21,Adam9,no_dataset
24,Adamts5,no_dataset
25,Adamtsl1,no_dataset
28,Adck5,no_dataset
31,Adrbk1,no_dataset
33,Adsl,no_dataset
35,Afap1l2,no_dataset
36,Aff2,no_dataset
37,Afp,no_dataset
38,Agap4,no_dataset
39,Agpat6,no_dataset
40,Aim2,no_dataset
41,Akap14,no_dataset
42,Akap7,no_dataset
43,Akap8l,no_dataset
44,Akap9,no_dataset
45,Akt1,no_dataset
46,Alas1,no_dataset
48,Aldh1l2,no_dataset
49,Alg10b,no_dataset
50,Alg6,no_dataset
51,Alkbh3,no_dataset
52,Alkbh4,no_dataset
53,Alkbh7,no_dataset
54,Alox5,no_dataset
55,Alpl,no_dataset
56,Als2,no_dataset
57,Amica1,no_dataset
58,Amigo1,no_dataset
59,Ammecr1l,no_dataset
61,Amt,no_dataset
62,Angpt1,no_dataset
63,Angptl7,no_dataset
65,Ankle2,no_dataset
66,Ankra2,no_dataset
67,Ankrd13b,no_dataset
68,Ankrd18b,no_dataset
69,Ankrd28,no_dataset
70,Ankrd32,no_dataset
71,Ankrd36c,no_dataset
72,Ankrd39,no_dataset
74,Ankzf1,no_dataset
77,Anxa8,no_dataset
79,Ap001816.1,no_dataset
80,Ap1g2,no_dataset
81,Ap1m2,no_dataset
83,Ap3b2,no_dataset
84,Ap4b1,no_dataset
85,Ap4m1,no_dataset
86,Ap5b1,no_dataset
89,Apoo,no_dataset
91,Aqp7,no_dataset
92,Aqr,no_dataset
93,Arap3,no_dataset
94,Arfgap3,no_dataset
95,Arhgap29,no_dataset
96,Arhgap4,no_dataset
97,Arid2,no_dataset
98,Arid3b,no_dataset
99,Arid3c,no_dataset
101,Armc7,no_dataset
102,Armcx4,no_dataset
103,Arrb2,no_dataset
105,Arsg,no_dataset
107,Arsk,no_dataset
108,Asb3,no_dataset
109,Asb7,no_dataset
111,Asl,no_dataset
112,Asphd2,no_dataset
113,Ass1,no_dataset
114,Aste1,no_dataset
115,Asxl1,no_dataset
116,Atad5,no_dataset
117,Atf1,no_dataset
118,Atf7,no_dataset
119,Atoh7,no_dataset
120,Atp4a,no_dataset
121,Atp6v1g2,no_dataset
122,Atp7b,no_dataset
123,Atp8b4,no_dataset
125,B3galnt1,no_dataset
129,Bank1,no_dataset
130,Banp,no_dataset
131,Bcar1,no_dataset
132,Bcl2a1,no_dataset
134,Bcl7a,no_dataset
135,Bcl9l,no_dataset
136,Bdh1,no_dataset
137,Bdkrb1,no_dataset
138,Bdkrb2,no_dataset
140,Begain,no_dataset
141,Bend3,no_dataset
142,Best3,no_dataset
144,Bhmt,no_dataset
145,Bicd1,no_dataset
146,Bicd2,no_dataset
147,Blm,no_dataset
149,Bnipl,no_dataset
151,Bphl,no_dataset
152,Brcc3,no_dataset
153,Brd1,no_dataset
154,Brd9,no_dataset
155,Brpf3,no_dataset
156,Brwd3,no_dataset
159,Bub1b,no_dataset
160,Bzrap1,no_dataset
161,C10orf25,no_dataset
162,C10orf35,no_dataset
163,C10orf62,no_dataset
164,C10orf95,no_dataset
165,C11orf52,no_dataset
166,C11orf58,no_dataset
167,C11orf68,no_dataset
168,C11orf80,no_dataset
169,C12orf42,no_dataset
170,C14orf132,no_dataset
171,C15orf27,no_dataset
172,C16orf58,no_dataset
173,C16orf86,no_dataset
174,C17orf53,no_dataset
175,C17orf70,no_dataset
176,C17orf80,no_dataset
177,C18orf42,no_dataset
178,C19orf57,no_dataset
179,C19orf60,no_dataset
180,C19orf71,no_dataset
181,C1ql1,no_dataset
182,C1qtnf2,no_dataset
183,C1orf145,no_dataset
184,C1orf162,no_dataset
185,C1orf172,no_dataset
186,C1orf226,no_dataset
