human_symbol,mouse_symbol,subtype
A1BG,A1bg,hypo
AARS2,Aars2,hypo
AASDH,Aasdh,hypo
ABCA5,Abca5,hypo
ABCC10,Abcc10,hypo
ABCC8,Abcc8,hypo
ABHD14A,Abhd14a,hypo
ABHD14B,Abhd14b,hypo
ABLIM1,Ablim1,hypo
ABLIM3,Ablim3,hypo
ACAP1,Acap1,hypo
ACAP3,Acap3,hypo
ACCS,Accs,hypo
ACD,Acd,hypo
ACSF2,Acsf2,hypo
ACSM1,Acsm1,hypo
ACTL6B,Actl6b,hypo
ACVR2A,Acvr2a,hypo
ADAM11,Adam11,hypo
ADAM19,Adam19,hypo
ADAM22,Adam22,hypo
ADAM9,Adam9,hypo
ADAMTS16,Adamts16,hypo
ADAMTS18,Adamts18,hypo
ADAMTS5,Adamts5,hypo
ADAMTSL1,Adamtsl1,hypo
ADARB1,Adarb1,hypo
ADCK4,Adck4,hypo
ADCK5,Adck5,hypo
ADCY6,Adcy6,hypo
ADRA2A,Adra2a,hypo
ADRBK1,Adrbk1,hypo
ADRM1,Adrm1,hypo
ADSL,Adsl,hypo
AFAP1,Afap1,hypo
AFAP1L2,Afap1l2,hypo
AFF2,Aff2,hypo
AFP,Afp,hypo
AGAP4,Agap4,hypo
AGPAT6,Agpat6,hypo
AIM2,Aim2,hypo
AKAP14,Akap14,hypo
AKAP7,Akap7,hypo
AKAP8L,Akap8l,hypo
AKAP9,Akap9,hypo
AKT1,Akt1,hypo
ALAS1,Alas1,hypo
ALDH1A2,Aldh1a2,hypo
ALDH1L2,Aldh1l2,hypo
ALG10B,Alg10b,hypo
ALG6,Alg6,hypo
ALKBH3,Alkbh3,hypo
ALKBH4,Alkbh4,hypo
ALKBH7,Alkbh7,hypo
ALOX5,Alox5,hypo
ALPL,Alpl,hypo
ALS2,Als2,hypo
AMICA1,Amica1,hypo
AMIGO1,Amigo1,hypo
AMMECR1L,Ammecr1l,hypo
AMPH,Amph,hypo
AMT,Amt,hypo
ANGPT1,Angpt1,hypo
ANGPTL7,Angptl7,hypo
ANK1,Ank1,hypo
ANKLE2,Ankle2,hypo
ANKRA2,Ankra2,hypo
ANKRD13B,Ankrd13b,hypo
ANKRD18B,Ankrd18b,hypo
ANKRD28,Ankrd28,hypo
ANKRD32,Ankrd32,hypo
ANKRD36C,Ankrd36c,hypo
ANKRD39,Ankrd39,hypo
ANKRD6,Ankrd6,hypo
ANKZF1,Ankzf1,hypo
ANO1,Ano1,hypo
ANP32A,Anp32a,hypo
ANXA8,Anxa8,hypo
AOX1,Aox1,hypo
AP001816.1,Ap001816.1,hypo
AP1G2,Ap1g2,hypo
AP1M2,Ap1m2,hypo
AP2A2,Ap2a2,hypo
AP3B2,Ap3b2,hypo
AP4B1,Ap4b1,hypo
AP4M1,Ap4m1,hypo
AP5B1,Ap5b1,hypo
APBA2,Apba2,hypo
APBB1,Apbb1,hypo
APOO,Apoo,hypo
AQP3,Aqp3,hypo
AQP7,Aqp7,hypo
AQR,Aqr,hypo
ARAP3,Arap3,hypo
ARFGAP3,Arfgap3,hypo
ARHGAP29,Arhgap29,hypo
ARHGAP4,Arhgap4,hypo
ARID2,Arid2,hypo
ARID3B,Arid3b,hypo
ARID3C,Arid3c,hypo
ARL16,Arl16,hypo
ARMC7,Armc7,hypo
ARMCX4,Armcx4,hypo
ARRB2,Arrb2,hypo
ARRDC3,Arrdc3,hypo
ARSG,Arsg,hypo
ARSJ,Arsj,hypo
ARSK,Arsk,hypo
ASB3,Asb3,hypo
ASB7,Asb7,hypo
ASGR1,Asgr1,hypo
ASL,Asl,hypo
ASPHD2,Asphd2,hypo
ASS1,Ass1,hypo
ASTE1,Aste1,hypo
ASXL1,Asxl1,hypo
ATAD5,Atad5,hypo
ATF1,Atf1,hypo
ATF7,Atf7,hypo
ATOH7,Atoh7,hypo
ATP4A,Atp4a,hypo
ATP6V1G2,Atp6v1g2,hypo
ATP7B,Atp7b,hypo
ATP8B4,Atp8b4,hypo
AVIL,Avil,hypo
B3GALNT1,B3galnt1,hypo
B4GALT1,B4galt1,hypo
BAI3,Bai3,hypo
BAIAP2,Baiap2,hypo
BANK1,Bank1,hypo
BANP,Banp,hypo
BCAR1,Bcar1,hypo
BCL2A1,Bcl2a1,hypo
BCL6,Bcl6,hypo
BCL7A,Bcl7a,hypo
BCL9L,Bcl9l,hypo
BDH1,Bdh1,hypo
BDKRB1,Bdkrb1,hypo
BDKRB2,Bdkrb2,hypo
BDNF,Bdnf,hypo
BEGAIN,Begain,hypo
BEND3,Bend3,hypo
BEST3,Best3,hypo
BHLHE22,Bhlhe22,hypo
BHMT,Bhmt,hypo
BICD1,Bicd1,hypo
BICD2,Bicd2,hypo
BLM,Blm,hypo
BMP4,Bmp4,hypo
BNIPL,Bnipl,hypo
BOC,Boc,hypo
BPHL,Bphl,hypo
BRCC3,Brcc3,hypo
BRD1,Brd1,hypo
BRD9,Brd9,hypo
BRPF3,Brpf3,hypo
BRWD3,Brwd3,hypo
BTD,Btd,hypo
BTG1,Btg1,hypo
BUB1B,Bub1b,hypo
BZRAP1,Bzrap1,hypo
C10orf25,C10orf25,hypo
C10orf35,C10orf35,hypo
C10orf62,C10orf62,hypo
