idx,mouse_symbol,section_data_set_id,human_symbol,subtype
9,Ablim3,73992943,ABLIM3,hypo
19,Adam19,74272054,ADAM19,hypo
22,Adamts16,276267,ADAMTS16,hypo
23,Adamts18,75651128,ADAMTS18,hypo
26,Adarb1,72109379,ADARB1,hypo
27,Adck4,70743880,ADCK4,hypo
29,Adcy6,81,ADCY6,hypo
30,Adra2a,73615550,ADRA2A,hypo
32,Adrm1,2019,ADRM1,hypo
34,Afap1,74425569,AFAP1,hypo
47,Aldh1a2,2025,ALDH1A2,hypo
60,Amph,72340233,AMPH,hypo
64,Ank1,70560276,ANK1,hypo
73,Ankrd6,71247671,ANKRD6,hypo
75,Ano1,1472,ANO1,hypo
76,Anp32a,94,ANP32A,hypo
78,Aox1,74425525,AOX1,hypo
82,Ap2a2,74819476,AP2A2,hypo
87,Apba2,2031,APBA2,hypo
88,Apbb1,2033,APBB1,hypo
90,Aqp3,293692,AQP3,hypo
100,Arl16,73817933,ARL16,hypo
104,Arrdc3,77280426,ARRDC3,hypo
106,Arsj,71249746,ARSJ,hypo
110,Asgr1,2047,ASGR1,hypo
124,Avil,72340234,AVIL,hypo
126,B4galt1,71063735,B4GALT1,hypo
127,Bai3,71247597,BAI3,hypo
128,Baiap2,73520966,BAIAP2,hypo
133,Bcl6,75651139,BCL6,hypo
139,Bdnf,79587720,BDNF,hypo
143,Bhlhe22,1162,BHLHE22,hypo
148,Bmp4,79556702,BMP4,hypo
150,Boc,74819594,BOC,hypo
157,Btd,2069,BTD,hypo
158,Btg1,73718576,BTG1,hypo
215,Cabp7,73930835,CABP7,hypo
218,Cacnb2,72119651,CACNB2,hypo
219,Cacnb3,70560340,CACNB3,hypo
221,Cacng7,74750054,CACNG7,hypo
224,Cadps2,73817429,CADPS2,hypo
225,Calb1,71717640,CALB1,hypo
226,Calb2,79556662,CALB2,hypo
227,Calcb,72338699,CALCB,hypo
231,Camk2d,71016676,CAMK2D,hypo
233,Camk4,75038464,CAMK4,hypo
234,Camkk2,70743899,CAMKK2,hypo
236,Capsl,75079776,CAPSL,hypo
241,Cbfa2t3,75038485,CBFA2T3,hypo
242,Cblb,74988451,CBLB,hypo
268,Cckbr,70560342,CCKBR,hypo
284,Cdc25b,74274686,CDC25B,hypo
288,Cdh10,73592529,CDH10,hypo
289,Cdh15,77869780,CDH15,hypo
290,Cdh18,74658022,CDH18,hypo
291,Cdh23,72283805,CDH23,hypo
292,Cdh3,1337,CDH3,hypo
293,Cdh7,73520973,CDH7,hypo
295,Cdk8,75147769,CDK8,hypo
299,Cdyl2,74641321,CDYL2,hypo
301,Celf3,74641324,CELF3,hypo
305,Cep72,74988742,CEP72,hypo
311,Chgb,70743886,CHGB,hypo
314,Chn2,74881162,CHN2,hypo
315,Chrd,257,CHRD,hypo
317,Chrnb3,70436747,CHRNB3,hypo
318,Chrne,75888738,CHRNE,hypo
319,Chst12,74881144,CHST12,hypo
320,Chst8,72080187,CHST8,hypo
327,Clec11a,112195815,CLEC11A,hypo
330,Clk2,356286,CLK2,hypo
332,Clock,273,CLOCK,hypo
335,Clvs2,71924374,CLVS2,hypo
343,Cnr1,283,CNR1,hypo
346,Cntn1,414,CNTN1,hypo
351,Col19a1,74658066,COL19A1,hypo
352,Col23a1,73636092,COL23A1,hypo
354,Col5a1,75147768,COL5A1,hypo
355,Col6a1,290,COL6A1,hypo
361,Cpne6,73769322,CPNE6,hypo
367,Crat,2119,CRAT,hypo
372,Crlf3,112195365,CRLF3,hypo
378,Cry2,302,CRY2,hypo
380,Crym,73592526,CRYM,hypo
381,Csk,75651192,CSK,hypo
391,Cux1,79556618,CUX1,hypo
396,Cyb5a,75043146,CYB5A,hypo
397,Cygb,72103830,CYGB,hypo
398,Cyhr1,77414565,CYHR1,hypo
399,Cyp26b1,72081548,CYP26B1,hypo
403,Cyp39a1,71836847,CYP39A1,hypo
413,Dbh,326,DBH,hypo
414,Dbp,1193,DBP,hypo
420,Ddx26b,75988610,DDX26B,hypo
425,Decr2,71924363,DECR2,hypo
432,Dgkg,343,DGKG,hypo
433,Dhdds,70612728,DHDDS,hypo
