key,fc_ratio,fc_weight,sc_weight,xyz_weight,anchor_top1,anchor_top5,anchor_pair_id,anchor_mean_rank,anchor_mean_xyz_dist,fc_translation_r,fc_within_r,fc_cross_r,n_human_nodes_kept,elapsed_s,score
fc0.800_sc0.200_xyz0.250,0.8,0.8,0.19999999999999996,0.25,0.8095238095238095,1.0,0.8095238095238095,1.2380952380952381,0.01997671048154232,0.3683929162422512,0.43912366650559476,0.2067634288276855,1461,43.8,0.5810479682716212
fc0.600_sc0.400_xyz0.500,0.6,0.6,0.4,0.5,0.8095238095238095,1.0,0.8333333333333334,1.2380952380952381,0.02237464046826924,0.36049936850265263,0.4321827509160215,0.19003208796614887,1278,43.5,0.576897043444847
fc1.000_sc0.000_xyz0.250,1.0,1.0,0.0,0.25,0.7857142857142857,1.0,0.7857142857142857,1.2619047619047619,0.021150912339234825,0.37419749023242704,0.4441487291980696,0.2052198388986012,1500,40.4,0.573370295992392
fc0.900_sc0.100_xyz0.250,0.9,0.9,0.09999999999999998,0.25,0.7857142857142857,1.0,0.7857142857142857,1.2619047619047619,0.021150912339234825,0.3708593395504414,0.44413526754398275,0.2073999343526205,1500,40.5,0.5721992509228797
fc0.900_sc0.100_xyz0.500,0.9,0.9,0.09999999999999998,0.5,0.7857142857142857,1.0,0.7857142857142857,1.2619047619047619,0.021166409717735823,0.36594581157768186,0.4412594947605209,0.19657276453031738,1405,40.4,0.5699043615757214
fc0.800_sc0.200_xyz0.500,0.8,0.8,0.19999999999999996,0.5,0.7857142857142857,1.0,0.7857142857142857,1.2619047619047619,0.021166409717735823,0.3637820261614782,0.43798197734745004,0.1972542748534137,1396,44.6,0.568491533197436
fc0.700_sc0.300_xyz0.500,0.7,0.7,0.30000000000000004,0.5,0.7857142857142857,1.0,0.8095238095238095,1.2619047619047619,0.022698650363744733,0.3620031099005312,0.43388316928585047,0.19385083129365294,1346,45.5,0.5670491508937846
fc0.500_sc0.500_xyz0.500,0.5,0.5,0.5,0.5,0.7857142857142857,1.0,0.8095238095238095,1.2619047619047619,0.022698650363744733,0.35950186714601934,0.43180995908689995,0.18796232705786403,1219,44.2,0.5657590738899153
fc0.700_sc0.300_xyz0.250,0.7,0.7,0.30000000000000004,0.25,0.7619047619047619,1.0,0.7857142857142857,1.2857142857142858,0.02388834959993823,0.3676939448707007,0.4409890028065191,0.20643762373282273,1371,44.3,0.5597478241231919
fc1.000_sc0.000_xyz0.500,1.0,1.0,0.0,0.5,0.7619047619047619,1.0,0.7619047619047619,1.2857142857142858,0.02234061157542833,0.36459439591537984,0.4396835519059437,0.1933408788614183,1390,40.8,0.5584018918087146
fc0.800_sc0.200_xyz0.750,0.8,0.8,0.19999999999999996,0.75,0.7619047619047619,1.0,0.8095238095238095,1.3571428571428572,0.031126901517981274,0.36233095091804357,0.4394186464146845,0.18819087270849097,1337,43.5,0.557556704961395
fc0.700_sc0.300_xyz0.750,0.7,0.7,0.30000000000000004,0.75,0.7619047619047619,1.0,0.8095238095238095,1.3571428571428572,0.031126901517981274,0.35943889337675383,0.4349171563334989,0.1882858705926928,1319,45.1,0.5556441868057065
fc0.500_sc0.500_xyz0.250,0.5,0.5,0.5,0.25,0.7619047619047619,1.0,0.7857142857142857,1.2857142857142858,0.02535425220991391,0.3602671973062357,0.42861316479274314,0.19340913804078622,1173,44.3,0.554673294872874
fc0.600_sc0.400_xyz0.750,0.6,0.6,0.4,0.75,0.7619047619047619,1.0,0.8095238095238095,1.3571428571428572,0.031126901517981274,0.3567985499915245,0.4304988574075617,0.18381365987897064,1273,44.0,0.5538364068356888
fc0.600_sc0.400_xyz0.250,0.6,0.6,0.4,0.25,0.7380952380952381,1.0,0.7619047619047619,1.3095238095238095,0.02567826210538941,0.36774362775519454,0.4412889134547562,0.20191462992914022,1269,43.5,0.5491109095481266
fc0.500_sc0.500_xyz0.750,0.5,0.5,0.5,0.75,0.7380952380952381,1.0,0.8095238095238095,1.380952380952381,0.05109921840346223,0.35541665480547474,0.4301020605782564,0.18134507557347002,1234,45.5,0.5425590984404246
